study_word,test,reference,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,l_b,lab,,,,,0,3,3,11,,,,,39.4988314,39.4988314,39.4988314,0.0026754,lab,[-0.05285714285714286],,,,,,,,,,,,
,t_g_r,tiger,,,,,0,4,4,1,,,,,45.2801509,45.2801509,45.2801509,0.004934,tiger,[-0.05285714285714286],,,,,,,,,,,,
,s_ac_e,space,,,,,0,5,5,18,,,,,49.0976042,49.0976042,49.0976042,0.002826,,[-0.05285714285714286],,,,,,,,,,,,
,c_s_i_n,cushion,,,,,0,6,6,3,,,,,52.530063,52.530063,52.530063,0.0021886,cushion,[-0.05285714285714286],,,,,,,,,,,,
,e_e,eye,,,,,0,7,7,17,,,,,55.9285305,55.9285305,55.9285305,0.0043994,eye,[-0.05285714285714286],,,,,,,,,,,,
,p_n,pen,,,,,0,8,8,6,,,,,58.8629073,58.8629073,58.8629073,0.0025067,pan,[-0.03428571428571429],,,,,,,,,,,,
,t_xt,text,,,,,0,9,9,16,,,,,63.7442535,63.7442535,63.7442535,0.0060474,text,[-0.03857142857142857],,,,,,,,,,,,
,b_t_l_,bottle,,,,,0,10,10,5,,,,,67.1952234,67.1952234,67.1952234,0.0030668,bottle,[-0.015714285714285715],,,,,,,,,,,,
,h_ir,hair,,,,,0,11,11,10,,,,,70.5116513,70.5116513,70.5116513,0.0026964,hair,[-0.015714285714285715],,,,,,,,,,,,
,hi_to_y,history,,,,,0,12,12,9,,,,,72.9432096,72.9432096,72.9432096,0.0050502,history,[-0.015714285714285715],,,,,,,,,,,,
,v_o_i_,violin,,,,,0,13,13,15,,,,,76.5107659,76.5107659,76.5107659,0.0031887,,[-0.015714285714285715],,,,,,,,,,,,
,_ia_o,piano,,,,,0,14,14,4,,,,,77.3437788,77.3437788,77.3437788,0.0029806,piano,[-0.015714285714285715],,,,,,,,,,,,
,_a_t_p ,laptop,,,,,0,15,15,8,,,,,81.1099934,81.1099934,81.1099934,0.0036372,laptop,[-0.015714285714285715],,,,,,,,,,,,
,li_e,life,,,,,0,16,16,7,,,,,84.2263999,84.2263999,84.2263999,0.0027868,like,[-0.015714285714285715],,,,,,,,,,,,
,ca_,cat,,,,,0,17,17,13,,,,,88.4743584,88.4743584,88.4743584,0.0044976,car,[-0.015714285714285715],,,,,,,,,,,,
,f_n,Fun,,,,,0,18,18,19,,,,,91.8086117,91.8086117,91.8086117,0.0044273,fun,[-0.015714285714285715],,,,,,,,,,,,
,d_g,dog,,,,,0,19,19,14,,,,,96.158379,96.158379,96.158379,0.0027895,dog,[-0.015714285714285715],,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,no. of hit (primed),0.4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,no. of hit (non - primed),0.3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,priming score,0.1,,,,,,,,,,,,,,,,,,
